id,first,last,num,userid,total_cnt,promotion_cnt,promotion_amt,regular_cnt,regular_amt
"182801","2017-04-05","2017-04-05","1","182801","1",NULL,NULL,"1","138.0000"
"182802","2017-03-25","2017-03-25","1","182802","1",NULL,NULL,"1","79.9000"
"182803","2017-03-25","2017-03-29","2","182803","5",NULL,NULL,"5","458.6000"
"182808","2017-03-25","2017-03-29","3","182808","6",NULL,NULL,"6","599.4000"
"182813","2017-03-28","2017-03-28","1","182813","1",NULL,NULL,"1","69.9000"
"182823","2017-03-25","2017-04-19","4","182823","5","1","6.0000","3","247.0000"
"182829","2017-03-25","2017-03-25","1","182829","1","1","6.0000",NULL,NULL
"182836","2017-03-30","2017-03-30","1","182836","2",NULL,NULL,"2","276.0000"
"182838","2017-03-27","2017-03-27","1","182838","1",NULL,NULL,"1","76.0000"
"182839","2017-03-25","2017-04-15","4","182839","4",NULL,NULL,"4","459.6000"
"182842","2017-03-25","2017-04-09","2","182842","3",NULL,NULL,"3","198.8000"
"182845","2017-04-07","2017-04-07","1","182845","1","1","20.0000",NULL,NULL
"182849","2017-03-26","2017-03-26","2","182849","2","1","6.0000","1","108.0000"
"182852","2017-04-07","2017-04-07","1","182852","1",NULL,NULL,"1","99.9000"
"182854","2017-03-27","2017-04-25","4","182854","5",NULL,NULL,"5","241.9000"
"182856","2017-03-26","2017-03-26","1","182856","1",NULL,NULL,"1","59.0000"
"182865","2017-03-27","2017-04-06","3","182865","3",NULL,NULL,"3","227.9000"
"182866","2017-03-25","2017-04-26","3","182866","3","1","10.0000","2","198.0000"
"182872","2017-03-25","2017-03-25","1","182872","1","1","6.0000",NULL,NULL
"182895","2017-03-27","2017-04-05","2","182895","2","1","20.0000","1","69.9000"
"182902","2017-03-25","2017-03-25","1","182902","2",NULL,NULL,"2","158.9000"
"182903","2017-03-27","2017-03-27","1","182903","1",NULL,NULL,"1","69.9000"
"182906","2017-03-29","2017-03-29","1","182906","1",NULL,NULL,"1","48.0000"
"182907","2017-03-27","2017-03-30","2","182907","2",NULL,NULL,"2","118.9000"
"182911","2017-03-25","2017-03-25","1","182911","1",NULL,NULL,"1","59.9000"
"182919","2017-03-25","2017-03-25","1","182919","1","1","6.0000",NULL,NULL
"182922","2017-03-30","2017-04-23","4","182922","5","1","13.0000","4","257.8000"
"182925","2017-03-26","2017-03-26","1","182925","1","1","6.0000",NULL,NULL
"182927","2017-04-07","2017-04-09","2","182927","2",NULL,NULL,"2","176.0000"
"182933","2017-03-27","2017-04-08","3","182933","3",NULL,NULL,"3","156.0000"
"182943","2017-04-19","2017-05-10","3","182943","3","1","10.0000","2","119.8000"
"182944","2017-04-14","2017-05-12","10","182944","14","2","18.0000","11","1216.5000"
"182947","2017-03-26","2017-04-11","2","182947","4","1","7.0000","1","78.0000"
"182950","2017-04-21","2017-05-13","3","182950","3","3","28.0000",NULL,NULL
"182951","2017-04-19","2017-05-10","3","182951","4",NULL,NULL,"3","174.8000"
"182955","2017-04-01","2017-04-30","3","182955","4",NULL,NULL,"4","352.0000"
"182960","2017-03-25","2017-05-02","8","182960","11","1","6.0000","10","916.6000"
"182969","2017-03-25","2017-04-21","3","182969","3","3","23.0000",NULL,NULL
"182973","2017-03-26","2017-03-26","1","182973","3","1","12.0000",NULL,NULL
"182981","2017-04-27","2017-04-27","1","182981","2","1","13.0000",NULL,NULL
"182982","2017-05-03","2017-05-03","2","182982","4",NULL,NULL,"4","366.9000"
"182997","2017-03-25","2017-03-25","1","182997","1",NULL,NULL,"1","99.9000"
"183002","2017-03-25","2017-03-25","1","183002","1","1","7.0000",NULL,NULL
"183015","2017-03-25","2017-03-25","1","183015","1","1","10.0000",NULL,NULL
"183021","2017-04-08","2017-04-08","1","183021","1",NULL,NULL,"1","69.9000"
"183023","2017-03-25","2017-03-29","4","183023","4",NULL,NULL,"4","399.6000"
"183025","2017-05-09","2017-05-09","1","183025","2","1","20.0000","1","69.9000"
"183026","2017-03-25","2017-03-25","1","183026","1",NULL,NULL,"1","80.0000"
"183030","2017-03-25","2017-04-12","3","183030","3",NULL,NULL,"3","348.8000"
"183031","2017-03-25","2017-04-26","3","183031","4","2","16.0000","2","436.0000"
"183034","2017-04-01","2017-05-13","5","183034","5",NULL,NULL,"5","445.7000"
"183039","2017-03-25","2017-03-25","2","183039","2","1","6.0000","1","108.0000"
"183040","2017-03-25","2017-03-25","2","183040","2","1","7.0000","1","59.0000"
"183041","2017-03-25","2017-05-12","4","183041","5","2","14.0000","3","307.9000"
"183043","2017-03-25","2017-03-25","1","183043","1","1","6.0000",NULL,NULL
