
id,day,time
"4313","7","2017-03-18 19"
"4313","1","2017-03-26 14"
"4316","7","2017-03-25 13"
"4316","7","2017-03-25 14"
"4316","1","2017-04-23 11"
"4316","7","2017-04-29 09"
"4326","1","2017-05-07 21"
"4328","7","2017-04-08 17"
"4329","1","2017-03-26 12"
"4329","7","2017-04-01 19"
"4329","1","2017-04-09 09"
"4329","7","2017-04-15 23"
"4331","1","2017-03-19 20"
"4331","1","2017-05-07 09"
"4331","1","2017-05-07 22"
"4331","7","2017-05-13 10"
"4334","1","2017-04-23 17"
"4334","7","2017-05-13 14"
"4340","7","2017-03-11 12"
"4340","7","2017-03-11 12"
"4340","7","2017-03-11 16"
"4340","7","2017-03-11 17"
"4340","7","2017-03-11 18"
"4340","7","2017-03-11 19"
"4340","7","2017-03-11 20"
"4340","7","2017-03-18 12"
"4340","7","2017-03-18 12"
"4340","7","2017-03-18 12"
"4340","1","2017-03-19 07"
"4340","1","2017-03-19 15"
"4340","7","2017-03-25 10"
"4340","7","2017-03-25 10"
"4340","7","2017-03-25 10"
"4340","7","2017-03-25 12"
"4340","1","2017-03-26 14"
"4340","7","2017-04-01 15"
"4340","7","2017-04-01 15"
"4340","7","2017-04-08 16"
"4340","7","2017-04-08 17"
"4340","7","2017-04-08 19"
"4340","7","2017-04-08 19"
"4340","7","2017-04-15 18"
"4340","7","2017-04-15 18"
"4340","1","2017-04-16 22"
"4340","7","2017-04-29 11"
"4340","7","2017-04-29 19"
"4340","1","2017-05-07 08"
"4340","7","2017-05-13 11"
"4340","7","2017-05-13 12"
"4340","7","2017-05-27 15"
"4342","7","2017-03-11 17"
"4342","7","2017-05-06 18"
"4345","7","2017-04-08 07"
"4350","7","2017-03-25 09"
"4350","7","2017-04-08 12"
"4350","7","2017-04-15 16"
"4350","1","2017-05-14 09"
"4356","1","2017-03-12 16"
"4356","7","2017-03-18 20"
"4356","1","2017-03-19 16"
"4356","7","2017-04-01 20"
"4356","7","2017-04-22 14"
"4356","1","2017-04-23 15"
"4356","1","2017-04-30 10"
"4356","1","2017-04-30 10"
"4361","1","2017-03-12 14"
"4361","1","2017-04-16 05"
"4376","7","2017-03-18 14"
"4387","7","2017-03-11 09"
"4387","7","2017-03-11 21"
"4387","1","2017-03-12 11"
"4387","1","2017-03-12 11"
"4387","1","2017-03-12 11"
"4387","1","2017-03-12 14"
"4387","1","2017-03-12 14"
"4387","1","2017-03-19 19"
"4387","1","2017-03-19 19"
"4387","1","2017-03-19 19"
"4387","7","2017-04-01 12"
