time,user_id,order
"2017-05-03 22","111493","3"
"2017-05-15 10","122583","3"
"2017-05-14 11","172282","3"
"2016-05-23 20","165","3"
"2017-05-12 09","27997","3"
"2017-05-14 08","20442","3"
"2017-05-12 10","24090","3"
"2017-05-12 18","167757","3"
"2017-05-14 10","91368","3"
"2017-05-02 00","201578","3"
"2017-05-10 13","42183","3"
"2017-05-12 10","245881","3"
"2017-05-06 11","247522","3"
"2017-05-09 10","278703","3"
"2017-05-07 14","155580","3"
"2017-05-10 17","51009","3"
"2017-05-10 18","1568","3"
"2017-05-12 22","166289","3"
"2017-05-06 17","222035","3"
"2017-05-07 20","17870","3"
"2017-05-12 14","130256","3"
"2017-05-13 10","110550","3"
"2017-05-09 20","299234","3"
"2017-05-12 10","27964","3"
"2017-05-12 10","209262","3"
"2017-05-02 12","171791","3"
"2017-05-12 09","49859","3"
"2017-05-15 16","125114","3"
"2017-05-09 21","299234","3"
"2017-05-12 17","171960","3"
"2017-05-12 19","153323","3"
"2016-05-04 11","7155","3"
"2017-05-12 11","202355","3"
"2017-05-15 10","127849","3"
"2016-05-17 22","4636","3"
"2017-05-16 11","225085","3"
"2017-05-15 10","187450","3"
"2017-05-09 13","153257","3"
"2017-05-02 15","41116","3"
"2017-05-09 14","117116","3"
"2017-05-03 11","164853","3"
"2017-05-15 10","269293","3"
"2017-05-14 18","20442","3"
"2017-05-05 16","223434","3"
"2017-05-10 21","122342","3"
"2017-05-09 17","277196","3"
"2017-05-14 20","42546","3"
"2017-05-13 10","145007","3"
"2017-05-08 18","255687","3"
"2017-05-07 22","292021","3"
"2017-05-15 14","177508","3"
"2017-05-01 17","36202","3"
"2017-05-01 21","183364","3"
"2017-05-11 15","279804","3"
"2017-05-09 07","51009","3"
"2017-05-12 19","157688","3"
"2017-05-12 10","214732","3"
"2017-05-04 21","46833","3"
"2017-05-14 10","209262","3"
"2017-05-02 11","280910","3"
"2017-05-08 12","49859","3"
"2017-05-09 12","164853","3"
"2017-05-03 10","195952","3"
"2017-05-01 03","145527","3"
"2017-05-03 11","42902","3"
"2017-05-15 10","271514","3"
"2017-05-13 10","49859","3"
"2017-05-09 17","79006","3"
"2017-05-04 14","115266","3"
"2017-05-03 14","27997","3"
"2017-05-13 23","146273","3"
"2017-05-15 16","250625","3"
"2017-05-14 20","321064","3"
"2017-05-15 18","172056","3"
"2017-05-12 10","76818","3"
"2017-05-14 10","28517","3"
"2017-05-06 08","18171","3"
"2017-05-12 19","105376","3"
"2017-05-03 10","1568","3"
"2017-05-02 09","189428","3"
"2017-05-15 10","27997","3"
"2017-05-14 10","175868","3"
"2017-05-03 22","178647","3"
"2017-05-03 10","136788","3"
"2017-05-05 09","4376","3"
"2016-05-25 20","7155","3"
"2017-05-10 18","134977","3"
"2017-05-16 12","131877","3"
"2017-05-14 16","21","3"
"2017-05-06 20","250952","3"
