time,user_id,order
"2016-11-16 11","31831","6"
"2016-11-16 12","31831","6"
"2016-11-17 19","41290","6"
"2016-11-20 12","31831","6"
"2016-11-21 08","26357","6"
"2016-11-23 23","62251","6"
"2016-11-25 10","62219","6"
"2016-11-25 13","72170","6"
"2016-11-25 22","430","6"
"2016-11-30 16","165","6"
"2016-12-02 20","19575","6"
"2016-12-05 21","24968","6"
"2016-12-06 17","165","6"
"2016-12-09 00","31831","6"
"2016-12-09 15","165","6"
"2016-12-10 00","20442","6"
"2016-12-10 00","31831","6"
"2016-12-11 00","31831","6"
"2016-12-13 10","62251","6"
"2016-12-13 21","13401","6"
"2016-12-16 10","83911","6"
"2016-12-16 17","17095","6"
"2016-12-16 20","18433","6"
"2016-12-19 17","31831","6"
"2016-12-20 20","46395","6"
"2016-12-20 22","28499","6"
"2016-12-22 22","17095","6"
"2016-12-23 00","36037","6"
"2016-12-23 13","90485","6"
"2016-12-25 23","27980","6"
"2016-12-28 22","20442","6"
"2016-12-30 21","10099","6"
"2016-12-31 00","26436","6"
"2016-12-31 00","36030","6"
"2016-12-31 00","67902","6"
"2016-12-31 00","91192","6"
"2016-12-31 09","67527","6"
"2017-01-03 17","165","6"
"2017-03-07 17","107346","6"
"2017-03-08 11","28430","6"
"2017-03-08 15","120702","6"
"2017-03-12 14","237","6"
"2017-03-15 12","86463","6"
"2017-03-16 14","99481","6"
"2017-03-17 12","86463","6"
"2017-03-17 12","102438","6"
"2017-03-19 12","31831","6"
"2017-03-19 12","121922","6"
"2017-03-20 15","131428","6"
"2017-03-22 09","4249","6"
"2017-03-22 09","25635","6"
"2017-03-22 09","105432","6"
"2017-03-22 15","138658","6"
"2017-04-07 14","237","6"
"2017-04-07 20","145431","6"
"2017-04-07 21","153725","6"
"2017-04-08 20","213879","6"
"2017-04-09 06","166289","6"
"2017-04-10 10","31831","6"
"2017-04-10 16","219681","6"
"2017-04-10 22","138658","6"
"2017-04-11 05","129266","6"
